subject,hours,credits
Ancient Philosophy,43,4
General Speech Science,44,5
MEMS-NEMS Theory &amp; Fabrication,42,5
Introduction to the Study of Literature and Culture,46,5
iVenture Accelerator Seminar II: Topics in Entrepreneurship,67,5
Readings in Greek Literature,39,4
Program Capstone,47,6
Issues in Intercollegiate Athletics: The Big Ten Conference,37,5
Remedies,38,6
Spanish Syntax,36,4
3,62,5
ECC Journal Topics,34,6
Special Problems in Detail and Fabrication,49,5
Multistate Taxation,71,5
Organismal Biology,63,5
Qualitative Writing,34,4
Exploring Cultural Diversity,61,5
Translational Research,63,6
Health Economics,54,5
Biopsychology of Ingestive Behavior,38,5
Big Rivers of the World,39,4
Elec Music Techniques II,39,4
Electric Strings Ensemble,36,4
Adv Clin Prac Aud Assess Rehab,51,4
Social Work and the Military,48,5
Oral &amp; Written Comm II,45,6
Capstone Undergrad Research,37,4
Program Delivery and Eval,68,5
Advanced Academic Writing,54,5
Graduate Level Percussion,88,6
Consumer Insights II,35,4
Directed Ind Study,58,5
Acting Studio IV: Dynamics,61,4
Topics in Art History,54,6
Cur Topics in FS &amp; Human Nutr,42,4
Doctoral Choral Conducting,30,4
Producing for UI7 Programming,42,5
Percussion,71,6
International Internship,53,6
Sound Design I,48,4
Mechatronics,42,6
MCB Honors Lab Discussion,73,5
Leadership and Ethics,33,4
Concert Jazz Band,71,6
Condensed Matter Physics,58,5
Global Human Rights,57,6
Advanced Radiological Science Lab,81,6
Musculoskeletal and Integument,41,5
Piano Ensemble,34,5
International War,62,6
Intro to Literary Editing,39,5
CAS Project,61,5
Ballet II,32,5
News Editing,44,5
Seminar in Nuclear Sci &amp; Engrg,46,6
Geog of Sub-Saharn Africa,65,5
Immersion in Clinical Practice - Phase 2,40,5
Introduction to Insurance,54,5
Basics of Statistical Learning,64,5
Info Sys Analysis and Design,47,4
Topics in Public Communication,51,5
Sedimentology and Stratigraphy,72,6
Current Concepts Comp Surgery,54,5
Electric Machinery,48,4
Plasma Engineering,89,6
Industry-Linked Design Project,62,4
US History Since 1877,40,4
Environmental Issues Today,37,6
Digital Communications,67,5
Seminar in Research Methods,75,6
Vector Space Signal Processing,52,6
Theory of Arithmetic,61,6
Math Models of Language,61,4
Clinical Training,34,4
Adv Comp Theriogenology,53,4
Forensic Science,56,6
Double Bass,35,5
Practicum III,57,6
Linear Programming,47,4
Topics in Instrumental Music,89,6
Graduate Jazz Saxophone,44,6
Electric Propulsion,69,6
Clinical Practice III,55,6
Analog IC Design,70,6
BSIS Internship,61,6
Advanced Seminar,48,5
Inelastic Design Methods,58,5
Intermediate Applied Microeconomics,62,4
Social Justice in the Information Professions,44,5
NRES Professional Orientation,46,6
Leading Post-Perform Dialog,40,6
Interaction I,63,5
American Sign Language II,43,4
Global Advertising,72,5
Actuarial Problem Solving,84,6
Stochastic Processes for Finance and Insurance,55,6
Hindsley Symphonic Band,48,4
Indiv Study Major Tutorial,70,5
Intro Microbiology Laboratory,40,4
Sem Second Lang Learn,60,5
Specialized Skills and Practices,57,6
International Taxation,62,4
Urban Ecology,50,4
Grad Early Field Experience,35,6
Laboratory Rotation I,62,4
Elementary French II,83,6
RR Project Design &amp; Constr,53,5
Graduate Level Harp,42,4
Animal Shelter Management,82,6
Finan Plan for Professionals,56,5
Origins of Western Literature,27,4
Introduction to Literary Studies,49,6
Chemistry Internship,89,6
Intermediate Scandinavian II,61,4
Intro Historical Writing,38,6
Basketball Band,43,6
Voice,54,4
"Space, Time, and Matter",30,5
ECE Colloquium,27,4
Spec Topics in Italian,64,6
International Finance,53,5
Elementary Course in a Less Commonly Taught Language I,86,6
Jewish History Since 1700,43,5
Advanced Cello,39,4
Senior Thesis,42,4
Geotechnical Engineering,34,5
Civil Procedure,75,5
Fundamentals of Real Estate,65,6
Information Organization and Access,50,6
Statistics and Probability II,68,5
Intermediate Persian II,72,6
Intro to Public Policy,58,4
Special Research Problems,39,6
Principles of Professional Responsibility,33,4
Biology and Society from Darwin to the Human Genome,31,4
Microcomputer Applications,40,4
"Libraries, Information and Society",64,6
Professional Design Practice,54,6
Molecular Microbiology,54,4
Guitar,74,5
Medicine in Literature,74,6
Topics in Statistics,32,4
Spatial Statistics,57,5
Global Health,61,4
Orientation Mus Tchg Lrng K-HS,38,6
Ecology &amp; Environmental Sustainability,62,4
Business Dynamics,88,6
Employment Relations Systems,88,6
Human Metabolic Disease,89,6
Jazz Arranging II,85,6
Clinical Practice VII,57,6
Adv Current Topics in Psych,62,4
"Social Justice, School and Society",87,6
Condensed Matter Physics I,65,5
Nonlinear Aeroelasticity,75,5
Introduction to Urology,62,6
Methods of Combinatorics,71,5
Contracts,61,4
LAW Study Abroad,88,6
Lab Safety Fundamentals,64,5
"Water Planet, Water Crisis",40,6
Inorganic Chemistry Lab,26,4
Foundations of Education-ACP,44,6
Surgery Clerkship,57,6
Investment Banking Academy,54,5
Evolution and Human Disease,79,6
"Hindu Pilgrimage, Power &amp; Place",75,6
Advanced Ballet Tech Elect,52,4
Clinical/Community: Biological,75,5
On-Campus Internship,58,4
Performance in Grad Thesis II,37,4
Model Making for the Stage,52,4
"Faith, Medicine, and End-of-Life Care",83,6
Children and Nature,45,4
International Lit Relations,68,6
Predictive Data Analytics,44,6
Medical Spanish,69,5
Electronic Circuits,50,4
Urban Hydrology and Hydraulics,81,6
Honors Individual Study,68,5
Topics in Brazilian Literature,28,4
Clinical/Community: Social,48,6
Property,52,5
Statics,32,5
Intermediate Painting,67,6
Clinical Sociolinguistics,28,4
Materials Laboratory II,81,6
Corporate Income Taxation,43,4
Scholarly Communications,84,6
American Sign Language III,48,4
Laboratory Studies in Materials Science and Engineering,50,5
District Change for Equity and Social Justice,60,4
Empirical Process Theory and Weak Convergence,35,5
Survey of World Cinema II,30,4
Introduction to Advocacy,40,5
Information History,27,4
Interactive Computer Graphics,69,6
Electron Microscopy,31,5
Wildlife Population Ecology,34,4
Formal Models of Computation,46,6
Adv Prac in Mental Hlth I,61,4
Mechanics of Additive Manufacturing,49,5
Solar System and Worlds Beyond,62,4
Feminist &amp; Gender Theory,53,6
Latina/os on the Bronze Screen,58,5
Piano,31,5
Media Entrepreneurship,41,4
Pork Production,87,6
Advanced Oboe,36,6
Graphic Design Capstone,63,6
Emergency Medicine,58,6
Leadership in Groups and Teams,68,5
Petrology and Petrography,63,6
Brand Management,37,5
Site Design Studio,71,6
Jazz Vocal Ensemble,59,5
Environmental Health,74,5
Introduction to Animal Evaluation,42,4
History of the Prison,59,6
The Science of Food and How it Relates to You,38,6
GWS Internship,40,4
Colloquium in Acting: Voice,49,5
Graduate Jazz Trombone,62,6
Quantitative Finance,32,4
Demand/Supply/Firms/Households,43,6
Special Topics in Leisure,39,6
Education Study Abroad,36,5
Counseling Psychology Pre-Practicum,87,6
Applied GIS to Environ Studies,50,5
University Physics: Elec &amp; Mag,68,6
Design of Structures and Mechanisms,56,6
Fourth Year Japanese II,40,4
Advanced Choral Conducting,57,5
Organizational Psych,63,6
Computation and Music II,56,4
Writing and Research,53,4
Computational Genomics,50,4
Materials Colloquium,54,5
Anesthesiology Sub-Internship,75,5
Science of Fermented Foods,73,5
Phonology I,75,5
Design: Health and Well-being,36,5
Practicum in African Studies,57,6
Intro Sound &amp; Hearing Science,44,5
Commodity Price Analysis,88,6
Advanced Chinese II,46,4
Fairy Tales &amp; Gender Formation,30,5
Historiography and Methodology,69,5
"Orientation to Recreation, Sport and Tourism",44,6
Seminar in Theatre History,37,5
Statistical Methods II,88,6
Social &amp; Psychological Aspects of Physical Activity,74,5
Accelerated Chemistry Lab II,50,4
Soil Mechanics and Behavior,35,6
LEDs and Solar Cells,50,4
Persuasive Writing,32,4
Literary Publishing &amp;Promotion,36,5
Early Childhood Curriculum Dev,51,4
The Classical Tradition,70,6
Introduction to Plant Protection,59,6
Singing in Musical Theatre,49,4
Neural Network Modeling Lab,30,4
Audio Visual Translation Studies,81,6
Communication in Nutrition,80,6
Pediatrics Clerkship,32,5
Industrial Design IV,34,4
Improvisors Exchange Ensemble,39,5
Seminars in Physiology,62,6
Legal Issues in Real Estate,67,6
Preserving Info Resources,29,4
Dynamics of Complex Fluids,49,5
Jazz Trombone,51,4
Supp Brass Inst: Horn,53,4
Intro to Algebraic Geometry,33,5
Equine Science,37,6
Topics Research and Writing,46,4
Graduate Level Flute,41,5
Social Philosophy,35,6
Design for Manufacturability,62,5
AEA Union Stage Management,53,4
Image Practice,27,4
Supply Chain Analytics,50,4
Museum Internship,61,5
Social Work with Women,38,5
Advanced Voice,37,4
Global Agribusiness Management,67,6
Algebraic Number Theory,30,4
Orchestration,35,4
Intro to Intercultural Comm,37,5
Advanced Electric Violin,55,4
Teaching Elementary Reading and Language Arts I,29,4
Curr Design &amp; Instruction,59,6
Intensive Intermediate Portuguese,37,4
Macroeconomic Theory II,44,5
Musical Theatre Repertoire,57,5
Modern Poetry,61,4
Work and Disability,86,6
Current Legal Problems,35,5
Conference Interpreting,61,4
Working With Farm Animals,68,6
Production Practicum III,30,4
Composition Theory and Practice,30,4
French Cultural History 1789-1968,35,4
"Graduate Seminar in Band Conducting, History, and Literature",39,5
Dermatology,33,4
Elementary Italian I,41,5
Digital Photography for Everyone,34,6
Korean Reading and Writing IV,37,5
Descriptive English Grammar,87,6
Heat Transfer,28,4
Honors Senior Thesis,60,4
Navigating the Job Market,35,4
Race and Cultural Diversity,47,5
Classical Physics Lab,46,6
Seminar in Business Admin,37,4
Advanced Spanish Grammar in Context,37,5
Academic Presentation Skills,38,6
Violin,43,4
Approaches to Literature,43,5
Landscape Construction,60,6
Enterprise Database Management,53,4
Special Problems,69,5
Intensive Elementary Spanish,40,4
Biomedical Instrumentation Lab,54,4
Indigenous Decolonial Methods,44,5
Intro to Interpersonal Comm,32,4
Consumer Economics,33,5
Introduction to Graphic Design,59,6
PhD Early Research Project,54,5
Cases in Financial Derivatives,37,6
UG Honors Research or Thesis,50,5
Banking and Financial Regulation,27,4
The Sociology of Political Polarization: Bigots and Snowflakes,27,4
Exotic/Wild Animal Path Sem,43,5
General Educator's Role in Special Education,77,6
"Cells, Tissues &amp; Development",82,6
Graduate Internship,73,6
Applied Soil Mechanics,67,6
Enlightenment Literature and Culture,42,4
Undergraduate Capstone Seminar,41,6
Topics in Organic Chemistry,74,6
Construction Engineering,60,6
Qualitative Research Methods,44,5
Senior Thesis Seminar,86,6
Water in the Global Environment,39,4
"Motor Develop, Growth &amp; Form",35,5
Europe in the World,53,6
Engineering Study Abroad,31,5
Rehabilitation Biomechanics,79,6
Finance &amp; Budgeting in RST,49,6
Fundamentals of Acting I,63,6
Incompressible Flow,56,6
Advanced Litigation Topics,56,6
Organizational Comm Assessment,30,4
Financial Modeling,38,5
Visual Politics,60,4
Contemporary Labor Problems,55,4
Introduction to Contemporary Performance Practice,63,6
Elementary Standard Arabic II,40,4
Topics in Computational Ling,37,5
History of Translation,49,5
Torts,40,4
Signal Processing,54,6
Graduate Sem Cell Devel Biol,64,5
Early American Literature and Culture,73,6
Spec Topics Italian Studies,40,6
Physical Principles Lab II,68,6
Advanced Scenographic Drafting,43,5
The EU in a Global Context,31,4
Int Jazz Technique,81,6
"Language Varieties, Cultures and Learning",52,5
Plasma and Fusion Science,68,6
Computational Photography,62,6
Phonology for Second Language Teachers,45,6
Special Problems in Sustainable Design,33,4
Field Practicum &amp; Professional Seminar II,53,5
Innovation and Conflict in British and Irish Modernism,58,5
Introduction to Theatre Arts,53,5
Unit One Sem Instruct in Music,43,5
Advanced Media Design,38,4
Religion in Contemp America,87,6
Comparative Law Topics,43,4
Soil Fertility and Fertilizers,62,4
Math/Actuarial Internship,54,5
The Science of Pets and How to Care for Them,76,6
Graduate Level Vocal Coaching,58,5
Environmental Geology,58,5
Life in the Andes,57,4
Biological Anthropology,59,4
Computer Methods,55,5
Experiential Learning Preparedness &amp; Planning,38,5
Special Studies in Soc Work I,82,6
Pedagogy and Teaching Physics for Learning Assistants,56,4
Behavioral Economics and Financial Decision Making,47,6
Research Elective,70,6
Physical Methods Mat Chem,41,4
Special Advanced Topics,30,5
Int/Adv Contemp Mod Tech Core,62,5
Advanced Child Welfare,62,4
History of Theatre II,26,4
Undergraduate Group Seminar,51,4
Intermediate Current Topics in Psychology,72,5
Introduction to Philosophy,51,4
Topics in Asian Religions,32,5
Accelerated Chemistry II,41,5
Engineering Advanced Seminar,61,6
Personality and Soc Dev,54,6
Women in Finance Academy,61,6
Managing Fin Risk for Insurers,35,4
Data Governance,44,4
Supervised Practice in Special Education,57,6
Cataloging for School Libraries,84,6
A Mathematical World,86,6
Training and Development,48,4
Hip Hop Music: History and Culture,73,5
Leading Individuals and Teams,45,5
Data Science and Analytics,62,4
Interreligious Perspectives on Health and Medicine,58,5
AHS Study Abroad,37,5
New Media and Literacies,43,4
Intro to Research Methods,30,5
Biomolecular Materials Science,27,4
Power System Dynm &amp; Stability,77,6
Advanced Marketing Management,78,6
Intro to British Literature,49,4
Specialization Capstone,52,5
Technical Systems in Agr,53,4
Video Reporting &amp; Storytelling,48,4
Aircraft Flight Mechanics,71,5
Adv Public Affairs Reporting,35,4
Public Health Research Methods,67,6
Linguistics Laboratory Research Experience,45,4
Basso Continuo,42,5
Senior Research,42,4
Curriculum Development III,31,5
Employee Benefit Plans,70,6
Renaissance Literature and Culture,67,5
Advanced Independent Study,76,6
Health Behaviors and Cognition,47,4
Digital Preservation,52,4
Modeling Nuclear Energy System,75,5
Orientation KIN &amp; Comm Health,88,6
Probability &amp; Statistics for Computer Science,61,4
Relationships in Acting II,32,5
New Product Development,43,6
Software Design Studio,41,6
Graduate Electric Violin,43,5
Jazz Percussion,71,5
Introduction to Communication,37,6
Beginning German I,37,4
Administrative Law,50,4
Field Practicum and Integrative Seminar II,55,4
Philosophy and Educational Research,59,6
Introduction to Telemedicine,58,6
Discrete Structures,28,4
Individual Study Sophomore,67,5
Neurology Clerkship,36,4
Intro Differential Equations,86,6
The Sounds of Spanish,46,4
Engineering Practice,56,6
Intro to Intl Relations,60,5
MPH Integrative Learning Experience,55,4
Venture Funded Startups,43,6
Graduate Seminar II,65,6
Seminar in Medieval Studies,33,4
"Contemporary Italian, Oral and Written",59,6
Parallel Computer Architecture,45,6
Language and the Brain,44,6
Advanced Topics in Journalism,39,5
Warfare Milit Insts &amp; Soc,68,6
Case Studies Global Heritage,32,5
Power Ckts &amp; Electromechanics,26,4
Madness and Modern Society,43,6
Time Arts I,36,5
Field Experience,71,5
Physiology,71,5
Atmospheric Chemistry,69,6
Sport and Development,51,4
Perception &amp; Sensory Processes,45,4
Research Project II,38,5
Pro Bono Service,60,6
Directed Research in Digital History,34,4
Eukaryotic Cell Signaling,74,6
European History 1918 to 1939,56,5
Advanced Seminar in New Media,61,4
Introduction to Astronomy,53,4
Elementary Wolof II,41,5
Advanced Quantum Dynamics,61,5
"Creativity, Innovation, Vision",77,6
Understanding the Host Response to Infection,55,5
Film Production,39,5
Introduction to Comics,35,5
Social-Emotional Development,42,5
Clinical/Community:Cog/Affect,73,5
Viking Sagas in Translation,28,4
Advanced Special Topics,58,6
Seminar for Intl TAs,44,5
Advanced Topics in Neuroscience,53,4
"Parks, Recreation, and Environments",57,5
Strategic Interntl Relations,52,4
Academic Progress I (Longitudinal),67,5
Period Studies in Musicology,56,4
Pathology Seminar,43,5
Ind Studies of Env. Topics,36,4
Leading Negotiations,56,4
Biophysics Seminars,62,5
Early African American Literature and Culture,52,5
Chemical Kinetics &amp; Catalysis,68,6
Open Seminar in German Studies,30,5
Makerspace: Escape Rooms,72,5
Business Process Improvement,26,4
Elementary Mathematics,50,6
Measurement and Evaluation,75,6
Public Goods Theory,83,6
Advanced Regression Analysis II,41,5
Advanced Digital Projects Lab,40,5
Emergence of Life,64,6
Advanced Reporting Topics,56,6
Teaching Elementary Science II,56,5
Elementary Greek II,54,4
Electric Violin,40,5
Social Inequality and Planning,28,4
Dancing Black Popular Culture,38,4
Logic and Reasoning,40,4
Resident Internship,66,5
Horse's Role in Human History,37,4
"Managing Recreation, Sport &amp; Tourism Organizations",43,4
Clin Exper in Sports Medicine,37,5
Justice in the Law,43,5
Argumentation,71,6
Victorian Literature and Culture,72,5
Foundations of Education,55,6
Mass Media and the Audience,40,4
Operations Strategy,61,4
Production in Dance,36,4
Data Warehousing and Business Intelligence,39,5
Spanish Composition,40,5
Acting Studio II: Voice,39,6
Actuarial Research,51,6
Immigrant America,34,5
Professional Practice Seminar I,44,5
Intro to Psycholinguistics,62,5
The Healer's Art,51,5
Exercise &amp; Health Psychology,43,6
Global Demography,61,5
Structural Dynamics II,48,5
Applied Nonlinear Programming,84,6
Surgical Pathology,36,6
Fundamentals of Env Sci,32,5
Metadata in Theory &amp; Practice,53,4
Rural Surgery,39,4
Seminar in Bioanthropology,69,5
Modern Spanish Literatures &amp; Cultures,47,5
Clarinet,36,4
Criminalization and Punishment,51,6
Experimental Stress Analysis,49,5
Theories of Psychotherapy,57,4
The Russian Avant-Garde: Revolutionary Forms and Socialist Norms,41,6
Storytelling,48,4
American Race and Ethnicity in the Classical Tradition,65,6
Responses to the Holocaust,60,5
Intro to Japanese Culture,80,6
Undergraduate Research Experience,53,5
Working with the Press,86,6
Practice III,66,5
Interpersonal Health Comm,58,5
Seminar: Methods Criticism,49,4
Industrial Design II,74,5
Antennas,45,5
Graduate Level Composition,46,6
Advanced Research in Psych,30,4
Microeconometrics,64,5
Teachers as Researchers,70,5
Org Fundamentals for HR,53,4
Accounting for Financial Analysis,55,5
Computer-Assisted Translation,29,4
Honors Project,90,6
Int Contemp Modern Tech Core,33,5
Physical Activity Research Methods,55,6
Applied Financial Analysis,68,5
Energy &amp; the Built Environment,32,5
Learning and Memory,27,4
Economics of Labor Markets,64,5
Individual Differences: B to 6,43,6
Advanced Electric Viola,57,4
US Latina and Latino Families,35,6
Theatre Foundations: Theory and Practice,69,5
French Studies,54,5
Professional Seminar in College Teaching,89,6
Choral Studies,39,4
Proseminar Pol Behavior II,47,4
Human Anatomy &amp; Physiology II,60,4
Introduction to Programming for the Brain and Cognitive Sciences,37,6
Exp Techniqs in Molecular Biol,52,5
Vascular Surgery,59,4
Neonatal Intensive Care,46,5
Foundations of CyberGIS &amp; Geospatial Data Science,54,6
Real Variables,85,6
Food Processing Unit Operations I Lab,42,4
Video Storytelling 2-Producing,30,5
Intro Hum Comm Sys &amp; Disorders,58,6
Logic and Reasoning QR II,74,5
Introduction to Labor Studies,49,4
Dynamical Systems Theory,83,6
Properties Design,82,6
Elements of Syntax,45,4
Advanced Bioprocess Coproducts,83,6
Accounting Control Systems,78,6
Multimedia Reporting,26,4
Professional Applications,61,5
Supervised Teaching,41,5
Theories of Cinema,71,6
Pre-Field Experience in Health,53,4
Introduction to Buddhism,73,6
Introduction to Data Analytics Applications in Business,59,5
Readings in Anthropology,71,5
Principles of Language Testing,40,5
Financial Risk Management,30,4
Special Topics in Cell and Developmental Biology,84,6
English Honors Seminar,66,5
Instrumentation and Test Lab,46,4
Electrical and Electronic Circuits,68,5
Partial Differential Equations,47,6
Introduction to Intellectual Disability,77,6
Food Analysis,53,4
Industrial Comp and Monopoly,47,5
Topics in Pathophysiology,47,6
Introduction to Programming Python for Data Science,65,5
The Short Story,33,4
Motor Development and Control,26,4
Seminar in Dramatic Literature,72,5
Exp Techniqs in Cellular Biol,36,4
Pediatric Pulmonology &amp; Sleep Medicine,31,5
Drug Use and Abuse,89,6
Living the Law,64,5
Career Theory and Practice,43,6
Theory &amp; Practice of Data Cleaning,56,6
Machine Translation: History and Applications,61,5
Special Topics in Printmaking,38,4
Creative Thesis Project,31,4
"Introduction to Innovation, Leadership and Engineering Entrepreneurship",41,5
Classical Ancient Philosophers,33,4
Social Work and Disability Studies,59,4
Readings in Russian,43,6
Embedded Systems,41,4
Accounting Analysis II,68,5
Integrating Animal Sciences,75,6
US Foreign Relations Since 1917,54,6
Intro Computing: Engrg &amp; Sci,26,4
Orthopedic Sports Medicine,31,5
Advanced Topics in Mathematics,72,6
Law and Public Policy,55,4
"Health, Illness and Society",45,6
Topics in Writing Studies,65,5
Assessment and Management of Dysphagia,38,6
Sales and the Consumer,51,4
Special Topics in Geology,56,4
Marketing in RST,62,5
Genetics and Genomics,45,6
Second Yr Polish II,70,6
Digital Rendering Techniques,62,4
Control of Stochastic Systems,43,4
Black &amp; White Film Photography,40,5
Graduate Seminar,90,6
Distributed Systems,54,4
Introduction to Eastern Europe,57,6
Advanced Large Animal Medicine,57,5
Writing and Grammar Workshop,40,4
Career Boot Camp,55,4
Introduction to Bioinformatics,59,5
Native Latin Amer Languages,47,6
Survey of Greek Literature,33,4
Individual and Dual Activities,81,6
The History of Music II,60,6
Senior Honors Thesis,50,4
Concerto Urbano Baroque Orchestra,40,4
Advanced Practicum in SHS,76,6
Technical Direction II,62,6
Compressible Flow,62,4
Field Placements,71,5
Physical Chemistry Seminar,79,6
Individual Study or Research,48,6
Vet Info Tech/Computer App,90,6
Harnessing Your Interpersonal Intelligence,59,4
Biochem &amp; Phys Basis of Life,74,6
Instructional Strategies II,69,5
Introduction to World Music,39,4
